Date,CPI,TB3MS,M1,M2,AUD_USD,CAD_USD,NZD_USD,ZAR_USD
2011-02-01,221.898,0.13,1874.6,8913.3,1.0084473684210526,0.9876368421052631,0.7619894736842105,7.184415789473683
2011-03-01,223.046,0.1,1901.2,8971.5,1.011304347826087,0.9765608695652174,0.7422782608695652,6.897634782608696
2011-04-01,224.093,0.06,1901.9,9035.1,1.0588142857142857,0.957952380952381,0.7893523809523809,6.72087619047619
2011-05-01,224.806,0.04,1947.0,9107.8,1.067495238095238,0.9680428571428572,0.7959047619047619,6.855561904761905
2011-06-01,224.806,0.04,1969.0,9182.1,1.0616636363636365,0.9766454545454546,0.8156636363636364,6.785854545454546
2011-07-01,225.395,0.04,2001.8,9344.2,1.078065,0.955315,0.8479850000000001,6.787145
2011-08-01,226.106,0.02,2121.5,9531.0,1.0501521739130435,0.9817086956521739,0.8378565217391305,7.087082608695653
2011-09-01,226.597,0.01,2126.4,9551.5,1.0220142857142858,1.0025,0.8119000000000001,7.5768666666666675
2011-10-01,226.75,0.02,2135.0,9584.4,1.016775,1.0198,0.791215,7.95396
2011-11-01,227.169,0.01,2188.9,9636.5,1.011165,1.024755,0.77135,8.14927
2011-12-01,227.223,0.01,2172.5,9683.9,1.0121666666666667,1.0235238095238095,0.7698857142857143,8.193295238095239
2012-01-01,227.842,0.03,2209.1,9757.6,1.0414949999999998,1.012985,0.80149,8.002460000000001
2012-02-01,228.329,0.09,2214.9,9809.8,1.0731899999999999,0.996745,0.8348850000000001,7.638755000000001
2012-03-01,228.807,0.08,2235.7,9853.9,1.0525863636363637,0.9937727272727273,0.8201318181818181,7.607063636363637
2012-04-01,229.187,0.08,2245.4,9907.7,1.0350047619047618,0.9928238095238096,0.8179714285714285,7.832928571428572
2012-05-01,228.713,0.09,2264.9,9951.4,0.9980454545454546,1.009731818181818,0.7748090909090909,8.150563636363636
2012-06-01,228.524,0.09,2284.2,10021.6,0.9985666666666666,1.028,0.7806428571428571,8.381804761904762
2012-07-01,228.59,0.1,2324.1,10074.5,1.030047619047619,1.0142,0.7986238095238095,8.25345238095238
2012-08-01,229.918,0.1,2363.5,10145.6,1.0474652173913044,0.9923826086956522,0.8104434782608696,8.259630434782608
2012-09-01,231.015,0.11,2396.4,10226.1,1.0405947368421054,0.9783000000000001,0.8198947368421052,8.257426315789473
2012-10-01,231.638,0.1,2429.9,10292.4,1.0297636363636362,0.9871545454545455,0.8197272727272726,8.64244090909091
